id,name,type,iban
1,Electricity PL,UTILITIES,PL60109010140000071219812871
2,Gas PL,UTILITIES,PL59109010140000071219812872
3,Water PL,UTILITIES,PL58109010140000071219812873
4,Phone PL,UTILITIES,PL57109010140000071219812874
5,Internet PL,UTILITIES,PL56109010140000071219812875
6,MOBILE,MOBILE,PL55109010140000071219812876
7,PayPal,WALLET,PL54109010140000071219812877
9,WebMoney,WALLET,PL52109010140000071219812879
10,Stripe,WALLET,PL51109010140000071219812880
11,Warsaw department Property tax,TAXES,PL56101000712223140244000000
12,Gdansk department Income tax,TAXES,PL63101000712223220232000000
13,Speeding fine,FINES,PL47101000550201609009990000
14,Illegal parking fine,FINES,PL47101000550201609009990000
15,Red light violation fine,FINES,PL47101000550201609009990000
16,Seatbelt fine,FINES,PL47101000550201609009990000
17,Warsaw department Income tax,TAXES,PL56101000712223140244000000
18,Gdansk department Property tax,TAXES,PL63101000712223220232000000
19,Krakow department Property tax,TAXES,PL48101000712223120235000000
20,Krakow department Income tax,TAXES,PL48101000712223120235000000
21,Lublin department Property tax,TAXES,PL88101000712223060230000000
22,Lublin department Income tax,TAXES,PL88101000712223060230000000
